,count,unique,top,freq,mean,std,min,25%,50%,75%,max
school,395,2,GP,349,,,,,,,
sex,395,2,F,208,,,,,,,
age,395.0,,,,16.696202531645568,1.2760427246056283,15.0,16.0,17.0,18.0,22.0
address,395,2,U,307,,,,,,,
famsize,395,2,GT3,281,,,,,,,
Pstatus,395,2,T,354,,,,,,,
Medu,395.0,,,,2.749367088607595,1.0947351414285367,0.0,2.0,3.0,4.0,4.0
Fedu,395.0,,,,2.5215189873417723,1.088200545826944,0.0,2.0,2.0,3.0,4.0
Mjob,395,5,other,141,,,,,,,
Fjob,395,5,other,217,,,,,,,
reason,395,4,course,145,,,,,,,
guardian,395,3,mother,273,,,,,,,
traveltime,395.0,,,,1.4481012658227848,0.6975047549086825,1.0,1.0,1.0,2.0,4.0
studytime,395.0,,,,2.0354430379746837,0.8392403464185556,1.0,1.0,2.0,2.0,4.0
failures,395.0,,,,0.3341772151898734,0.7436509736062507,0.0,0.0,0.0,0.0,3.0
schoolsup,395,2,no,344,,,,,,,
famsup,395,2,yes,242,,,,,,,
paid,395,2,no,214,,,,,,,
activities,395,2,yes,201,,,,,,,
nursery,395,2,yes,314,,,,,,,
higher,395,2,yes,375,,,,,,,
internet,395,2,yes,329,,,,,,,
romantic,395,2,no,263,,,,,,,
famrel,395.0,,,,3.9443037974683546,0.8966586076885047,1.0,4.0,4.0,5.0,5.0
freetime,395.0,,,,3.2354430379746835,0.9988620396657205,1.0,3.0,3.0,4.0,5.0
goout,395.0,,,,3.108860759493671,1.1132781740183424,1.0,2.0,3.0,4.0,5.0
Dalc,395.0,,,,1.481012658227848,0.8907414280909669,1.0,1.0,1.0,2.0,5.0
Walc,395.0,,,,2.2911392405063293,1.2878965924510932,1.0,1.0,2.0,3.0,5.0
health,395.0,,,,3.5544303797468353,1.3903033913095773,1.0,3.0,4.0,5.0,5.0
absences,395.0,,,,5.708860759493671,8.00309568710818,0.0,0.0,4.0,8.0,75.0
G1,395.0,,,,10.90886075949367,3.319194671507669,3.0,8.0,11.0,13.0,19.0
G2,395.0,,,,10.713924050632912,3.7615046595560298,0.0,9.0,11.0,13.0,19.0
G3,395.0,,,,10.415189873417722,4.5814426109978434,0.0,8.0,11.0,14.0,20.0
