GPA,Attendance,Workload,Cluster
1.1333333333333333,95.2,2,0
1.0666666666666667,96.8,2,1
1.6666666666666667,92.0,2,1
2.933333333333333,98.4,3,0
1.7333333333333332,96.8,2,0
3.0,92.0,2,0
2.333333333333333,100.0,2,0
1.1333333333333333,95.2,2,0
3.5333333333333337,100.0,2,0
2.933333333333333,100.0,2,0
1.8,100.0,2,0
2.2666666666666666,96.8,3,0
2.8,98.4,1,0
2.066666666666667,98.4,2,0
3.066666666666667,100.0,3,0
2.8,96.8,1,0
2.7333333333333334,95.2,3,0
1.8666666666666667,96.8,2,0
1.0666666666666667,87.2,1,1
1.8666666666666667,96.8,1,0
2.8,100.0,2,0
2.8,100.0,1,0
3.066666666666667,98.4,2,0
2.533333333333333,100.0,2,1
1.8,98.4,3,0
1.5333333333333334,88.8,1,1
2.333333333333333,98.4,1,0
3.066666666666667,96.8,1,0
2.2,96.8,2,0
2.2,87.2,2,1
2.1333333333333333,100.0,2,0
3.3333333333333335,100.0,2,0
3.2666666666666666,100.0,2,0
2.0,100.0,2,0
2.7333333333333334,100.0,1,0
1.4,100.0,1,0
3.2666666666666666,98.4,3,0
3.066666666666667,94.4,3,0
2.333333333333333,98.4,3,0
2.666666666666667,93.6,1,0
1.8666666666666667,80.0,2,1
2.4,93.6,1,0
3.6666666666666665,98.4,2,0
1.8,100.0,1,0
1.9333333333333331,88.8,2,1
1.4666666666666666,93.6,2,0
2.2666666666666666,90.4,2,0
3.8666666666666663,96.8,4,0
2.933333333333333,98.4,2,0
1.4,98.4,2,0
2.533333333333333,98.4,2,0
2.466666666666667,98.4,2,0
2.1333333333333333,95.2,1,1
1.9333333333333331,100.0,1,0
2.4,95.2,1,1
1.8,93.6,2,0
2.933333333333333,100.0,2,0
2.933333333333333,96.8,2,0
1.8666666666666667,98.4,2,0
3.1333333333333333,98.4,2,0
2.1333333333333333,95.2,2,0
1.9333333333333331,95.2,1,1
1.8,96.8,2,0
1.8666666666666667,98.4,3,0
2.0,100.0,2,0
3.066666666666667,98.4,2,0
2.533333333333333,96.8,4,0
1.3333333333333335,96.8,4,0
1.6666666666666667,98.4,2,0
3.2,90.4,4,0
2.8666666666666667,100.0,4,0
2.0,100.0,4,0
1.2666666666666666,98.4,2,1
2.533333333333333,98.4,1,0
2.2666666666666666,56.800000000000004,2,0
1.8666666666666667,95.2,2,0
2.1333333333333333,93.6,4,0
2.2,100.0,4,0
1.7333333333333332,98.4,1,1
1.0,90.4,2,0
2.2666666666666666,98.4,1,0
2.1333333333333333,96.8,3,0
1.2666666666666666,92.0,2,0
3.0,96.8,2,0
1.9333333333333331,98.4,2,1
1.6,95.2,2,1
1.4,96.8,2,0
2.7333333333333334,96.8,3,0
2.066666666666667,90.4,2,0
1.4,85.6,2,1
1.4666666666666666,100.0,3,0
3.4,96.8,1,0
1.2666666666666666,96.8,2,1
2.066666666666667,100.0,2,0
2.533333333333333,95.2,4,0
1.8,98.4,4,0
2.7333333333333334,98.4,1,0
1.8,98.4,2,0
2.6,95.2,1,0
1.6,100.0,3,0
1.2666666666666666,88.8,1,1
3.3333333333333335,100.0,3,0
2.466666666666667,96.8,1,0
1.2666666666666666,79.2,2,0
3.4666666666666663,100.0,2,0
2.1333333333333333,92.0,4,0
1.5333333333333334,93.6,4,0
3.4666666666666663,98.4,3,0
2.4,95.2,4,0
3.0,96.8,3,0
3.7333333333333334,95.2,1,0
1.8,100.0,3,0
2.4,95.2,2,0
3.7333333333333334,92.0,1,0
1.8,93.6,2,0
3.066666666666667,98.4,2,0
2.533333333333333,98.4,2,0
2.666666666666667,100.0,1,0
1.6,84.0,2,1
2.666666666666667,95.2,1,0
3.066666666666667,98.4,2,0
3.0,95.2,4,0
2.6,98.4,2,0
2.533333333333333,85.6,1,0
1.5333333333333334,100.0,2,0
2.533333333333333,100.0,1,0
1.8666666666666667,100.0,2,0
1.6,98.4,2,1
0.7333333333333333,100.0,1,1
3.6,93.6,1,0
0.8,100.0,3,1
0.5333333333333333,100.0,1,1
2.333333333333333,90.4,1,1
2.2666666666666666,87.2,1,0
0.6,100.0,2,1
0.7333333333333333,100.0,3,0
0.6666666666666667,100.0,2,1
0.26666666666666666,100.0,1,1
2.533333333333333,100.0,2,1
3.1333333333333333,100.0,1,0
1.0666666666666667,100.0,4,0
1.8,93.6,1,1
2.066666666666667,98.4,3,0
2.7333333333333334,98.4,1,1
0.33333333333333337,100.0,1,1
2.0,100.0,2,0
0.8666666666666666,100.0,2,1
2.1333333333333333,98.4,2,0
0.8666666666666666,100.0,1,0
1.8,100.0,1,1
0.7333333333333333,100.0,1,1
2.6,95.2,1,1
2.0,93.6,3,0
0.33333333333333337,100.0,1,1
2.2666666666666666,100.0,1,0
1.8,98.4,2,0
2.7333333333333334,93.6,1,1
1.8,95.2,1,1
3.1333333333333333,98.4,1,0
2.2666666666666666,96.8,2,1
0.8666666666666666,100.0,1,1
1.4,95.2,2,1
0.4666666666666667,100.0,1,1
2.0,98.4,1,1
1.3333333333333335,100.0,2,1
2.333333333333333,87.2,1,0
2.0,96.8,2,1
3.0,100.0,2,0
0.8666666666666666,100.0,2,0
2.8,100.0,2,0
0.7333333333333333,100.0,1,1
2.933333333333333,98.4,2,0
2.2666666666666666,100.0,2,0
1.0,100.0,2,1
2.0,96.8,2,0
1.8666666666666667,96.8,2,1
2.466666666666667,98.4,2,0
1.1333333333333333,96.8,2,1
1.8,92.0,1,1
2.066666666666667,96.8,2,0
1.6666666666666667,92.0,2,0
2.466666666666667,98.4,2,0
3.3333333333333335,100.0,2,0
1.7333333333333332,55.199999999999996,2,0
2.466666666666667,88.8,2,0
2.333333333333333,90.4,2,0
2.2666666666666666,98.4,1,0
3.0,100.0,2,0
1.6,95.2,2,0
1.8,96.8,2,1
2.4,92.0,2,0
1.6666666666666667,100.0,2,0
1.5333333333333334,90.4,2,1
1.8,93.6,1,1
2.7333333333333334,100.0,1,0
2.933333333333333,100.0,2,0
3.2,96.8,1,0
1.8666666666666667,93.6,1,1
3.6,80.8,1,0
1.8666666666666667,100.0,2,0
3.2,98.4,2,0
1.8666666666666667,95.2,2,0
1.8666666666666667,96.8,2,1
1.2666666666666666,85.6,1,1
2.066666666666667,95.2,4,0
1.8666666666666667,77.6,3,1
1.4,96.0,2,1
2.4,92.0,2,0
1.8666666666666667,95.2,1,1
1.4,95.2,3,0
1.6,92.0,4,0
2.466666666666667,89.6,2,1
2.6,100.0,2,0
1.4,88.0,2,1
1.8666666666666667,90.4,1,0
2.933333333333333,98.4,2,0
1.0666666666666667,82.4,2,1
1.3333333333333335,89.6,2,1
1.4666666666666666,97.6,1,1
1.9333333333333331,96.8,3,0
1.2,98.4,2,1
0.7333333333333333,100.0,3,1
3.2666666666666666,98.4,2,0
2.533333333333333,100.0,2,1
2.666666666666667,100.0,3,0
1.6,87.2,2,1
3.066666666666667,92.0,2,0
2.333333333333333,98.4,2,0
1.8,88.8,2,1
2.2666666666666666,92.0,3,0
2.666666666666667,88.8,2,0
2.2,96.8,2,0
1.9333333333333331,88.8,2,0
2.666666666666667,98.4,2,0
1.4666666666666666,85.6,2,1
2.0,92.0,3,0
2.666666666666667,96.8,2,1
2.466666666666667,84.0,1,0
2.333333333333333,98.4,2,0
0.9333333333333333,100.0,2,1
2.4,88.8,2,1
2.2,98.4,2,0
0.4,100.0,1,1
2.466666666666667,100.0,1,0
0.4666666666666667,100.0,3,1
3.6,95.2,1,0
2.466666666666667,96.8,1,0
1.4666666666666666,87.2,1,1
0.8666666666666666,93.6,2,1
2.8666666666666667,100.0,1,1
1.4666666666666666,100.0,1,1
1.8,95.2,2,0
1.5333333333333334,96.8,1,1
1.6666666666666667,100.0,1,1
2.1333333333333333,100.0,1,1
1.6,98.4,1,1
2.6,95.2,4,0
2.2,90.4,2,0
2.8666666666666667,93.6,2,0
1.2666666666666666,100.0,4,0
3.5333333333333337,83.2,2,0
1.6,98.4,2,0
2.466666666666667,99.2,3,0
1.8666666666666667,96.8,3,0
1.2666666666666666,100.0,3,0
3.4,89.6,2,0
1.8666666666666667,98.4,2,1
2.2,93.6,2,0
1.9333333333333331,92.0,2,0
0.4,100.0,2,1
1.8,88.0,2,1
2.8666666666666667,96.8,4,0
2.2,98.4,2,0
2.8666666666666667,98.4,2,0
2.0,98.4,2,0
2.4,95.2,2,1
1.8666666666666667,40.0,2,0
1.8,82.4,1,0
1.6666666666666667,88.0,2,0
2.066666666666667,93.6,1,0
1.6,76.0,1,1
2.0,84.8,1,1
2.4,99.2,4,0
1.8,96.8,2,1
2.0,96.8,2,1
2.2,98.4,2,0
3.6666666666666665,96.0,3,0
2.466666666666667,95.2,3,0
2.8666666666666667,95.2,3,0
2.8666666666666667,92.8,2,0
2.2666666666666666,91.2,2,0
3.0,100.0,3,0
2.466666666666667,90.4,2,0
3.6,95.2,4,0
2.7333333333333334,93.6,3,0
2.466666666666667,96.8,1,0
1.2666666666666666,100.0,2,0
1.7333333333333332,92.0,2,0
2.7333333333333334,100.0,4,0
3.1333333333333333,96.0,1,0
2.2,88.8,2,0
2.1333333333333333,100.0,1,0
2.7333333333333334,100.0,3,0
3.4666666666666663,100.0,4,0
2.8,84.0,2,0
2.533333333333333,93.6,2,0
